ADM1_EN,ADM1_PCODE,Kindergarten Schools,Primary & Middle Schools,Secondary Schools,Primary/Middle Schools with Electricity,Primary/Middle Schools with Water,Primary/Middle Schools with Library,Primary/Middle Schools with Lab,Primary/Middle Schools with Peda Center,Secondary Schools with Electricity,Secondary Schools with Water,Secondary Schools with Library,Secondary Schools with Peda Center,Total Teachers,Total Students ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addis Ababa,ET14,1133,792,226,706,701,688,583,666,201,211,196,156,"64,449",1294610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afar,ET02,65,825,56,79,78,32,14,27,16,10,8,6,"7,393",253258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amhara,ET03,564,9604,685,"2,051",774,"3,446","1,125","3,828",435,166,396,296,"200,047",3617711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benishangul Gumz,ET06,48,617,93,108,129,82,14,171,37,24,28,32,"9,858",326362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Ethiopia,ET08,372,"2,033",295,894,623,"1,010",472,911,245,159,214,182,"46,844",2136372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dire Dawa,ET15,64,145,33,100,104,87,23,81,30,30,28,21,"4,338",148559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambela,ET12,44,311,75,91,48,39,6,31,28,9,14,6,"5,927",208737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harari,ET13,59,89,18,64,40,46,30,24,12,10,11,8,"3,036",87947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromia,ET04,11703,"15,315","1,369",4601,"5,331","6,443",869,"3,828","1,104",820,"1,045",648,"252,762",11992342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidama,ET16,301,1334,122,522,406,771,326,415,96,74,113,82,"44,209",1400835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somali,ET05,92,2126,272,201,142,17,14,42,68,57,29,11,"18,615",973631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ethiopia,ET07,344,2573,336,866,741,"1,079",468,913,249,172,243,196,"64,137",2559297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South West Ethiopia,ET11,120,1551,182,332,278,705,147,829,140,55,136,132,"32,501",1254865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigray,ET01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
